opportunity_id,title,opportunity_type,employer_or_agency,org_id,county,city,status,posted_date,deadline,salary_or_value,trade_categories,experience_level,apply_url,source_id,verified_as_of,confidence,notes
OPP-SF-WATER-7316,Water Service Inspector (7316) - Citywide,job,City and County of San Francisco,ORG-SFPUC,San Francisco,San Francisco,active,2026-09-01,2026-09-16,"$128,258-$155,896/year",water;inspection;plumbing,2 years water/wastewater field or distribution operations,https://careers.sf.gov/role/?id=3743990014981286,SRC-SF-CITYWIDE,2026-09-12,high,Citywide eligible list may fill openings across departments over the next year.
OPP-SF-STAT-7334,Stationary Engineer (7334) - Multiple Departments,job,City and County of San Francisco,ORG-SFPUC,San Francisco,San Francisco,active_continuous,2026-06-09,continuous,"$132,912/year",stationary_engineer;hvac;mechanical;plant_operations,4 years journey-level or qualifying apprenticeship/substitution,https://careers.sf.gov/role/?id=3743990013537595,SRC-SF-CITYWIDE,2026-09-12,high,Continuous class-based exam; may be used by multiple departments.
OPP-SFPUC-STAT-7341,"Stationary Engineer, Water Treatment Plant (7341)",job,San Francisco Public Utilities Commission,ORG-SFPUC,San Francisco_or_Alameda,San Francisco_or_Sunol,verify_open,2026-07-24,open at least through 2026-08-14; may close any time,See official posting,stationary_engineer;water_treatment;mechanical;electrical,4-year apprenticeship or qualifying journey-level/maritime substitution; Grade II water certificate,https://careers.sf.gov/,SRC-BAYWORK-JOBS,2026-09-12,medium,"Baywork page remains live, but deadline is open-ended; verify on official SF Careers before display."
OPP-NOCH-JRTECH,Junior Field Technician - EV Charging,job,Noch Power,,Bay_Area_verify,Field_based,verify_open,2026-09-02,not listed,$22-$26/hour,electrical;ev_charging;field_service,junior; hands-on training stated,https://tradeswomen.org/job-postings/junior-field-technician,SRC-TRADESWOMEN-JOBS,2026-09-12,medium,"Location and employer-page status could not be fully verified; treat as a lead, not a guaranteed opening."
OPP-SFPW-11919,"Switchboard, UPS2 & HVAC Replacement",project_demand_signal,San Francisco Public Works,ORG-SFPW,San Francisco,San Francisco,active_bid,2026-09-01,2026-10-14,Estimated $7.8M contract,electrical;hvac;building_controls;general_construction,contractor/subcontractor opportunity; worker demand inferred,https://bidopportunities.apps.sfdpw.org/CaseLoad/Details/2695,SRC-SFPW-BIDS,2026-09-12,high_source_medium_inference,"20% LBE subcontracting goal and local-hire policy. This is a project, not a job posting."
OPP-SFPW-M22,M22 General Building Services,project_demand_signal,San Francisco Public Works,ORG-SFPW,San Francisco,San Francisco,active_bid,,2026-09-30,Estimated $3M master agreement,general_building;repair;maintenance;demolition;modernization,contractor/subcontractor opportunity; worker demand inferred,https://bidopportunities.apps.sfdpw.org/CaseLoad/Details/2409,SRC-SFPW-BIDS,2026-09-12,high_source_medium_inference,If-and-as-needed services; possible downstream subcontract and hiring demand.
OPP-SFPW-M23,M23 General Engineering Services,project_demand_signal,San Francisco Public Works,ORG-SFPW,San Francisco,San Francisco,active_bid,,2026-09-30,Estimated $3M master agreement,general_engineering;civil;maintenance;construction,contractor/subcontractor opportunity; worker demand inferred,https://bidopportunities.apps.sfdpw.org/CaseLoad/Details/2410,SRC-SFPW-BIDS,2026-09-12,high_source_medium_inference,"Use as an employer-project signal, not as an individual job."
OPP-SFPW-FRONT,Front & Sansome Streets Pavement Renovation and Sewer Replacement,project_demand_signal,San Francisco Public Works,ORG-SFPW,San Francisco,San Francisco,active_bid,,2026-09-16,Estimated $3.99M contract,paving;sewer;drainage;traffic_control;laborers;operating_engineers,contractor/subcontractor opportunity; worker demand inferred,https://bidopportunities.apps.sfdpw.org/CaseLoad/Details/2693,SRC-SFPW-BIDS,2026-09-12,high_source_medium_inference,25% LBE subcontracting goal and local-hire policy; deadline is near.
OPP-SFO-WATER-EXPIRED,Water Service Inspector - SFO posting,job,San Francisco International Airport,ORG-SFPUC,San Francisco,San Francisco,expired,2026-08-24,2026-09-08,"$128,258-$155,896/year",water;inspection;airport,see posting,https://tradeswomen.org/job-postings/water-service-inspector-san-francisco-international-airport,SRC-TRADESWOMEN-JOBS,2026-09-12,high,Retained as a freshness test case; do not show as open. The newer citywide 7316 exam is active through September 16.
OPP-SFO-ASPHALT-EXPIRED,Asphalt Finisher (7404) - SFO,job,San Francisco International Airport,,San Francisco,San Francisco,expired,2026-08-17,2026-08-21,"$83,330-$101,270/year",asphalt;paving;airport,see posting,https://tradeswomen.org/job-postings/asphalt-finisher-7404-facilities-sfo-0,SRC-TRADESWOMEN-JOBS,2026-09-12,high,Retained to validate stale-record suppression.
