org_id,name,org_type,county,city,address,phone,email,website,serves_sf,serves_alameda,target_population,services,priority,verified_as_of,source_id,notes
ORG-CYPRESS,Cypress Mandela Training Center,pre_apprenticeship_provider,Alameda,Oakland,not_provided,not_provided,not_provided,https://www.cypressmandela.org/,yes,yes,Bay Area residents age 18+,Free construction pre-apprenticeship; union pathways; placement; employer connections,P1,2026-09-12,SRC-CYPRESS-APPLY,Core BenchBridge intake and referral partner.
ORG-WOJRC,West Oakland Job Resource Center,workforce_center,Alameda,Oakland,not_provided,not_provided,not_provided,https://www.wojrc.org/,no,yes,Oakland residents and construction job seekers,Contractor referrals; local-hire compliance; pre/post-employment services,P1,2026-09-12,SRC-WOJRC,"Interest form contains applicant PII; link only, never scrape submissions."
ORG-CITYBUILD,CityBuild,public_workforce_program,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.sf.gov/departments--workforce-development-division--citybuild,yes,no,San Francisco residents entering or working in union construction,Pre-apprenticeship; employment network; contractor and union referrals,P1,2026-09-12,SRC-CITYBUILD-ACADEMY,Use separate Academy and Employment Network program records.
ORG-MHH,Mission Hiring Hall,workforce_center,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://missionhiringhall.org/,yes,no,San Francisco job seekers,CityBuild recruitment; workforce services; job placement,P1,2026-09-12,SRC-MHH-CITYBUILD,Operational partner and physical intake point for CityBuild.
ORG-RISING,Rising Sun Center for Opportunity,pre_apprenticeship_provider,Alameda,Oakland,not_provided,not_provided,not_provided,https://risingsunopp.org/programs/opportunity-build/,yes,yes,Low-income adults 18+; annual women and non-binary cohort,MC3 pre-apprenticeship; certifications; placement and one-year retention support,P1,2026-09-12,SRC-RISING-OB,September 17 info session is the last listed gateway to the fall 2026 cohort.
ORG-TRADESWOMEN,"Tradeswomen, Inc.",workforce_nonprofit,Alameda,Berkeley,not_provided,not_provided,not_provided,https://tradeswomen.org/,yes,yes,Women and gender-diverse people entering or advancing in skilled trades,Job postings; events; apprenticeship navigation; retention and leadership,P1,2026-09-12,SRC-TRADESWOMEN-EVENTS,High-value event aggregator; individual postings still require deadline checks.
ORG-CTWI,Construction Trades Workforce Initiative,labor_workforce_intermediary,Alameda,Oakland,not_provided,not_provided,not_provided,https://ctwi.org/,yes,yes,Underrepresented communities seeking union construction careers,MC3 ecosystem; union opening tracker; math test prep; employer partnerships,P1,2026-09-12,SRC-CTWI-CAREERS,Best consolidated source for Bay Area union application windows.
ORG-PORTOAK,Port of Oakland Workforce Development,public_agency_workforce,Alameda,Oakland,not_provided,not_provided,not_provided,https://www.portofoakland.com/community/workforce-development,no,yes,Local Impact Area residents and disadvantaged workers,"MAPLA workforce goals; contractor, union and workforce-provider coordination",P1,2026-09-12,SRC-PORT-WORKFORCE,"Local Impact Area includes Oakland, Alameda, San Leandro and Emeryville."
ORG-OAKLANDLEP,City of Oakland Local Employment Program,public_local_hire_program,Alameda,Oakland,not_provided,not_provided,not_provided,https://www.oaklandca.gov/Business/Doing-Business-with-the-City/City-Contracting-Equity/Hire-Local-Residents-for-Construction-Jobs,no,yes,Oakland residents seeking work on City-funded construction,Resident skill registry and contractor local-worker requests,P1,2026-09-12,SRC-OAKLAND-LOCALHIRE,Directly aligned with worker-to-project matching; page availability should be monitored.
ORG-ACWDB,Alameda County Workforce Development Board,public_workforce_board,Alameda,Hayward,not_provided,not_provided,not_provided,https://acwdb.org/job-seekers/,no,yes,Alameda County job seekers,AJCC network; training; OJT; job fairs; employer services,P2,2026-09-12,SRC-ACWDB,Use EastBayWorks for network locations and live events.
ORG-EASTBAYWORKS,EastBayWorks,ajcc_network,Alameda,Multiple,not_provided,not_provided,not_provided,https://www.eastbayworks.com/,no,yes,East Bay job seekers and employers,AJCC locations; workshops; recruiting events; training referrals,P2,2026-09-12,SRC-EASTBAYWORKS,Good event and supportive-services layer; not trades-only.
ORG-EDENAJCC,Eden Area AJCC,workforce_center,Alameda,Hayward,not_provided,not_provided,not_provided,https://www.eastbayworks.com/,no,yes,Hayward and surrounding Alameda County job seekers,Career services; training and employer connections,P2,2026-09-12,SRC-EASTBAYWORKS,Confirm current address and appointment details before displaying.
ORG-YCD,Young Community Developers,workforce_nonprofit,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.ycdjobs.org/our-services,yes,no,"San Francisco residents, with deep Bayview-Hunters Point reach",CityBuild recruitment and referral; job readiness; placement,P2,2026-09-12,SRC-YCD,Community intake channel for CityBuild-related pathways.
ORG-APRISF,A. Philip Randolph Institute San Francisco,workforce_nonprofit,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.aprisf.org/workforce-development.html,yes,no,San Francisco residents at all construction experience levels,CityBuild recruitment; information sessions; workforce development,P2,2026-09-12,SRC-APRI,Site lists ongoing CityBuild recruitment; call to confirm next session.
