program_id,name,provider_org_id,program_type,trade_categories,county,city,delivery,tuition,stipend,eligibility,certifications,duration,application_status,next_date,application_url,phone,email,verified_as_of,status_confidence,source_id,notes
PRG-CYPRESS-PA,Cypress Mandela Construction Pre-Apprenticeship,ORG-CYPRESS,pre_apprenticeship,multi_craft;construction,Alameda,Oakland,in_person_full_time,free,not stated,Age 18+; Bay Area resident; original ID/work/education documents; interview and physical agility,construction safety and trade readiness; see provider,16 weeks; Mon-Fri 6:45am-3:30pm,orientation_scheduled,2026-12-08,https://www.cypressmandela.org/apply,not_provided,not_provided,2026-09-12,high,SRC-CYPRESS-APPLY,"Orientation doors 8:30am, starts 9:00am. Next cohort starts 2027-01-11."
PRG-CITYBUILD-ACADEMY,CityBuild Academy,ORG-CITYBUILD,pre_apprenticeship,multi_craft;construction,San Francisco,San Francisco,in_person_full_time,free,not stated,San Francisco resident; age 18+; valid California driver license; pass job-readiness steps and drug test,MC3; safety certifications; job placement support,12 weeks; typically spring and fall,interest_form_open,,https://www.sf.gov/apply-train-career-construction,not_provided,not_provided,2026-09-12,high,SRC-CITYBUILD-ACADEMY,"Submit interest form; then recruitment, readiness testing, interview and screening."
PRG-CITYBUILD-ENS,CityBuild Employment Network Services,ORG-CITYBUILD,job_referral,union_construction,San Francisco,San Francisco,in_person_and_phone,n/a,n/a,San Francisco union construction worker; valid driver license; proof of residency; current union dues,n/a,ongoing,ongoing,,https://www.sf.gov/step-by-step--get-help-finding-construction-work,not_provided,not_provided,2026-09-12,high,SRC-CITYBUILD-ENS,Worker database and employer referrals; important post-apprenticeship route.
PRG-WOJRC-INTAKE,WOJRC Construction Job-Seeker Intake,ORG-WOJRC,job_referral,construction;union_apprenticeship,Alameda,Oakland,online_form_and_in_person,free,n/a,Construction job seeker; local-hire eligibility varies by project,support and referral; not a credential program,ongoing,interest_form_open,,https://wojrc.tfaforms.net/f/interest?campID=701Kc000000oyEl,not_provided,not_provided,2026-09-12,high,SRC-WOJRC-INTEREST,Do not scrape form submissions or store applicant PII without explicit consent.
PRG-RISING-WBTB,Opportunity Build: Women Building the Bay,ORG-RISING,pre_apprenticeship,multi_craft;green_construction,Alameda,Oakland,in_person_full_time,free,"$2,000 monthly training grant; need prioritized; benefits/tax impact possible",Age 18+; work authorization/SSN; valid photo ID or driver license; diploma/GED; low income; women and non-binary focus,OSHA 10; First Aid/CPR; MC3,2026-10-13 to 2026-12-18; Mon-Fri 8am-4pm,info_session_required,2026-09-17,https://risingsunopp.org/programs/opportunity-build/,not_provided,not_provided,2026-09-12,high,SRC-RISING-OB,Must attend the September 17 noon info session to schedule an interview.
PRG-OAKLAND-LOCALHIRE,Oakland Local Employment Program Worker Registry,ORG-OAKLANDLEP,local_hire_registry,construction,Alameda,Oakland,online_or_city_intake,free,n/a,Oakland resident; construction skills and project requirements vary,n/a,ongoing,verify_open,,https://www.oaklandca.gov/Business/Doing-Business-with-the-City/City-Contracting-Equity/Hire-Local-Residents-for-Construction-Jobs,not_provided,not_provided,2026-09-12,medium,SRC-OAKLAND-LOCALHIRE,Page intermittently unavailable during research; confirm current registration route.
PRG-APRI-CITYBUILD,APRI CityBuild Recruitment and Referral,ORG-APRISF,community_recruitment,multi_craft;construction,San Francisco,San Francisco,in_person,free,not stated,All construction experience levels; CityBuild eligibility applies,referral into CityBuild pathway,ongoing recruitment,contact_for_next_session,,https://www.aprisf.org/workforce-development.html,not_provided,not_provided,2026-09-12,medium,SRC-APRI,Ask for Dedria Smith and next information session.
PRG-IBEW6-IW,San Francisco Electrical JATC Inside Wireman,ORG-IBEW6,registered_apprenticeship,electrical;inside_wireman,San Francisco,San Francisco,paid_on_the_job_plus_classroom,earn_while_you_learn,paid apprenticeship,Program-specific; verify with JATC,California registered apprenticeship,multi-year,closed_monitor_next_window,,https://ctwi.org/union-construction-careers/,not_provided,not_provided,2026-09-12,high,SRC-CTWI-CAREERS,Listed 2026 window May 18-22 and May 25-29; both passed.
PRG-IBEW595-IW,Alameda County Electrical JATC Inside Wireman,ORG-IBEW595,registered_apprenticeship,electrical;inside_wireman,Alameda,San Leandro,paid_on_the_job_plus_classroom,earn_while_you_learn,paid apprenticeship,Program-specific; contact JATC,California registered apprenticeship,60 months per DIR program listing,contact_program,,https://www.595jatc.org/,not_provided,not_provided,2026-09-12,medium,SRC-DIR-AIG,Registered program; opening status not confirmed by registry.
PRG-SMART104,SMART Local 104 Sheet Metal Apprenticeship,ORG-SMART104,registered_apprenticeship,sheet_metal;hvac,Alameda,San Leandro,paid_on_the_job_plus_classroom,earn_while_you_learn,paid apprenticeship,Program-specific; verify application steps,California registered apprenticeship,multi-year,ongoing_verify_details,,https://ctwi.org/union-construction-careers/,not_provided,not_provided,2026-09-12,medium,SRC-CTWI-CAREERS,CTWI marks ongoing; confirm directly.
