from_id,from_type,relationship,to_id,to_type,evidence_source_id,confidence,notes
ORG-CYPRESS,Organization,PROVIDES,PRG-CYPRESS-PA,Program,SRC-CYPRESS-APPLY,high,Provider relationship.
ORG-CITYBUILD,Organization,PROVIDES,PRG-CITYBUILD-ACADEMY,Program,SRC-CITYBUILD-ACADEMY,high,Provider relationship.
ORG-CITYBUILD,Organization,PROVIDES,PRG-CITYBUILD-ENS,Program,SRC-CITYBUILD-ENS,high,Provider relationship.
ORG-MHH,Organization,DELIVERS_WITH,PRG-CITYBUILD-ACADEMY,Program,SRC-MHH-CITYBUILD,high,Partner intake and delivery site.
ORG-RISING,Organization,PROVIDES,PRG-RISING-WBTB,Program,SRC-RISING-OB,high,Provider relationship.
ORG-WOJRC,Organization,PROVIDES,PRG-WOJRC-INTAKE,Program,SRC-WOJRC,high,Provider relationship.
ORG-OAKLANDLEP,Organization,PROVIDES,PRG-OAKLAND-LOCALHIRE,Program,SRC-OAKLAND-LOCALHIRE,medium,Provider relationship.
ORG-APRISF,Organization,REFERS_TO,PRG-CITYBUILD-ACADEMY,Program,SRC-APRI,high,Community recruitment route.
ORG-YCD,Organization,REFERS_TO,PRG-CITYBUILD-ACADEMY,Program,SRC-YCD,medium,Community recruitment route.
ORG-CTWI,Organization,TRACKS,PRG-IBEW6-IW,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-SMART104,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-NORCALSOUND,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-CEMENT,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-LABORERS,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-OE3SURVEY,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,TRACKS,PRG-UA483,Program,SRC-CTWI-CAREERS,high,Application tracker.
ORG-CTWI,Organization,PROVIDES,PRG-CTWI-MATH,Program,SRC-TRADESWOMEN-EVENTS,medium,Test-prep provider.
ORG-PORTOAK,Organization,WORKFORCE_PARTNER,ORG-CYPRESS,Organization,SRC-PORT-WORKFORCE,high,Port workforce ecosystem.
ORG-PORTOAK,Organization,WORKFORCE_PARTNER,ORG-CTWI,Organization,SRC-PORT-WORKFORCE,high,MAPLA/workforce ecosystem.
ORG-PORTOAK,Organization,WORKFORCE_PARTNER,ORG-WOJRC,Organization,SRC-PORT-WORKFORCE,medium,Local workforce ecosystem; confirm current operating role.
ORG-DIR,Organization,REGISTERS,PRG-IBEW595-IW,Program,SRC-DIR-AIG,high,"Registration, not open status."
ORG-IBEW595,Organization,PROVIDES,PRG-IBEW595-IW,Program,SRC-BC3-DIRECTORY,high,Provider relationship.
